waypoint_id,wp_publish_ns,wp_received_ns,wp_received_latency_ms,px4_response_ns,wp_to_px4_ms,total_end_to_end_ms
0,1761112268049363828,1761112268050672540,1.31,,,
0,1761112268049363828,1761112268050672540,1.31,1761112268087973558,38.61,N/A
0,1761112268244319543,1761112268247235747,2.92,,,
0,1761112268244319543,1761112268247235747,2.92,1761112268279885009,35.57,N/A
0,1761112268421462119,1761112268426011725,4.55,,,
0,1761112268421462119,1761112268426011725,4.55,1761112268515890355,94.43,N/A
0,1761112268599710746,1761112268604364525,4.65,,,
0,1761112268599710746,1761112268604364525,4.65,1761112268628250912,28.54,N/A
0,1761112268814451630,1761112268820864916,6.41,,,
0,1761112268814451630,1761112268820864916,6.41,1761112268878838734,64.39,N/A
0,1761112269008934254,1761112269011097952,2.16,,,
0,1761112269186723252,1761112269194009886,7.29,,,
0,1761112269186723252,1761112269194009886,7.29,1761112269233710077,46.99,N/A
0,1761112269446270005,1761112269453375523,7.11,,,
0,1761112269446270005,1761112269453375523,7.11,1761112269593037812,146.77,N/A
0,1761112269627143900,1761112269631603847,4.46,,,
0,1761112269627143900,1761112269631603847,4.46,1761112269675254788,48.11,N/A
0,1761112269819632323,1761112269824159204,4.53,,,
0,1761112269819632323,1761112269824159204,4.53,1761112269838399866,18.77,N/A
0,1761112270048418450,1761112270067358654,18.94,,,
0,1761112270048418450,1761112270067358654,18.94,1761112270096967216,48.55,N/A
0,1761112270292009359,1761112270293368103,1.36,,,
0,1761112270292009359,1761112270293368103,1.36,1761112270324832094,32.82,N/A
0,1761112270485603583,1761112270486987660,1.38,,,
0,1761112270485603583,1761112270486987660,1.38,1761112270658422156,172.82,N/A
0,1761112270695661722,1761112270702830730,7.17,,,
0,1761112270695661722,1761112270702830730,7.17,1761112270734205146,38.54,N/A
0,1761112270904162397,1761112270905638910,1.48,,,
0,1761112270904162397,1761112270905638910,1.48,1761112270969023329,64.86,N/A
0,1761112271124014414,1761112271128227579,4.21,,,
0,1761112271124014414,1761112271128227579,4.21,1761112271158757416,34.74,N/A
0,1761112271345312582,1761112271350574362,5.26,,,
0,1761112271345312582,1761112271350574362,5.26,1761112271353440239,8.13,N/A
0,1761112271578231932,1761112271582808879,4.58,,,
0,1761112271578231932,1761112271582808879,4.58,1761112271597856141,19.62,N/A
0,1761112271814832644,1761112271829888081,15.06,,,
0,1761112271814832644,1761112271829888081,15.06,1761112271850593777,35.76,N/A
0,1761112272079219165,1761112272097065619,17.85,,,
0,1761112272079219165,1761112272097065619,17.85,1761112272111537175,32.32,N/A
0,1761112272331689499,1761112272339604820,7.92,,,
0,1761112272331689499,1761112272339604820,7.92,1761112272347047156,15.36,N/A
0,1761112272585134777,1761112272586497691,1.36,,,
0,1761112272585134777,1761112272586497691,1.36,1761112272599258457,14.12,N/A
0,1761112272839937519,1761112272853714564,13.78,,,
0,1761112272839937519,1761112272853714564,13.78,1761112272885325605,45.39,N/A
0,1761112273162530463,1761112273164091589,1.56,,,
0,1761112273162530463,1761112273164091589,1.56,1761112273223997100,61.47,N/A
0,1761112273531621119,1761112273533082795,1.46,,,
0,1761112273531621119,1761112273533082795,1.46,1761112273574082521,42.46,N/A
0,1761112273878401133,1761112273880996041,2.59,,,
0,1761112273878401133,1761112273880996041,2.59,1761112273887580656,9.18,N/A
0,1761112274221528790,1761112274239254267,17.73,,,
0,1761112274221528790,1761112274239254267,17.73,1761112274264760617,43.23,N/A
0,1761112274609298077,1761112274612832565,3.53,,,
0,1761112274609298077,1761112274612832565,3.53,1761112274631012628,21.71,N/A
0,1761112275012082725,1761112275013539887,1.46,,,
0,1761112275012082725,1761112275013539887,1.46,1761112275098632048,86.55,N/A
0,1761112275271429576,1761112275274784357,3.35,,,
0,1761112275271429576,1761112275274784357,3.35,1761112275288161747,16.73,N/A
0,1761112275555063538,1761112275557796833,2.73,,,
0,1761112275555063538,1761112275557796833,2.73,1761112275598704395,43.64,N/A
0,1761112275826474821,1761112275827772370,1.30,,,
0,1761112275826474821,1761112275827772370,1.30,1761112275843380080,16.91,N/A
0,1761112276087816660,1761112276101778220,13.96,,,
0,1761112276087816660,1761112276101778220,13.96,1761112276121654090,33.84,N/A
0,1761112276363461240,1761112276365513554,2.05,,,
0,1761112276363461240,1761112276365513554,2.05,1761112276413360516,49.90,N/A
0,1761112276646364729,1761112276649219816,2.86,,,
0,1761112276646364729,1761112276649219816,2.86,1761112276671641358,25.28,N/A
0,1761112276941584028,1761112276945886130,4.30,,,
0,1761112276941584028,1761112276945886130,4.30,1761112276985719029,44.14,N/A
0,1761112277167283040,1761112277173505168,6.22,,,
0,1761112277167283040,1761112277173505168,6.22,1761112277192957213,25.67,N/A
0,1761112277417197256,1761112277422950048,5.75,,,
0,1761112277417197256,1761112277422950048,5.75,1761112277424414722,7.22,N/A
0,1761112277681389649,1761112277683009869,1.62,,,
0,1761112277681389649,1761112277683009869,1.62,1761112277908437460,227.05,N/A
0,1761112277909318850,1761112277933647712,24.33,,,
0,1761112277909318850,1761112277933647712,24.33,1761112277966012479,56.69,N/A
0,1761112278161326520,1761112278166256008,4.93,,,
0,1761112278161326520,1761112278166256008,4.93,1761112278225508762,64.18,N/A
0,1761112278492122441,1761112278493818223,1.70,,,
0,1761112278492122441,1761112278493818223,1.70,1761112278503556480,11.43,N/A
0,1761112278793732033,1761112278802365210,8.63,,,
0,1761112278793732033,1761112278802365210,8.63,1761112278938852695,145.12,N/A
0,1761112279027949791,1761112279038994304,11.04,,,
0,1761112279027949791,1761112279038994304,11.04,1761112279168649350,140.70,N/A
0,1761112279241336580,1761112279259913846,18.58,,,
0,1761112279241336580,1761112279259913846,18.58,1761112279271308385,29.97,N/A
0,1761112279493297118,1761112279505910081,12.61,,,
0,1761112279493297118,1761112279505910081,12.61,1761112279537457196,44.16,N/A
0,1761112279743766867,1761112279750450521,6.68,,,
0,1761112279743766867,1761112279750450521,6.68,1761112279865351850,121.58,N/A
0,1761112280001467140,1761112280006942292,5.48,,,
0,1761112280001467140,1761112280006942292,5.48,1761112280044783530,43.32,N/A
0,1761112280219363980,1761112280226113047,6.75,,,
0,1761112280219363980,1761112280226113047,6.75,1761112280229712843,10.35,N/A
0,1761112280473957982,1761112280475420621,1.46,,,
0,1761112280473957982,1761112280475420621,1.46,1761112280510883113,36.93,N/A
0,1761112280774958725,1761112280776254431,1.30,,,
0,1761112280774958725,1761112280776254431,1.30,1761112280985688289,210.73,N/A
0,1761112281002265395,1761112281004865830,2.60,,,
0,1761112281002265395,1761112281004865830,2.60,1761112281246619685,244.35,N/A
0,1761112281244004172,1761112281248464050,4.46,,,
0,1761112281244004172,1761112281248464050,4.46,1761112281265758978,21.75,N/A
0,1761112281520143249,1761112281526850280,6.71,,,
