Waypoint_Timestamp_ns,AI_Inference_Latency_ms
1761124335597231044,162.87
1761124335769998704,167.90
1761124335978949712,201.12
1761124336202483810,218.34
1761124336417048504,205.43
1761124336614986781,188.35
1761124336770672069,150.35
1761124336914658773,138.16
1761124337053902559,134.24
1761124337206909109,149.21
1761124337387989022,175.18
1761124337579009694,183.03
1761124337777508617,194.66
1761124338002220409,216.34
1761124338150460599,142.29
1761124338311068271,154.07
1761124338473540686,158.13
1761124338638210637,159.69
1761124338832739795,186.15
1761124339043530846,203.58
1761124339276119654,223.19
1761124339496353989,212.04
1761124339713174539,210.31
1761124339899911016,181.46
1761124340063221642,153.57
1761124340227438649,158.83
1761124340393679139,159.30
1761124340552974092,153.78
1761124340730344493,171.78
1761124340869074766,132.28
1761124341027989539,152.78
1761124341214902294,180.25
1761124341380255292,158.36
1761124341570090839,184.49
1761124341724624879,149.28
1761124341888970943,158.25
1761124342069516781,174.07
1761124342294024407,216.66
1761124342492528803,194.64
1761124342675099150,174.22
1761124342854574650,173.49
1761124343023411271,159.28
1761124343251561989,222.89
1761124343493342100,235.80
1761124343661068033,158.14
1761124343817510101,150.85
1761124343971125758,143.44
1761124344148685259,172.24
1761124344327367239,169.69
1761124344494183238,160.35
1761124344675143911,175.89
1761124344893964016,213.96
1761124345097368893,197.03
1761124345310652384,205.31
1761124345506780558,180.58
1761124345663650215,149.74
1761124345853471999,179.82
1761124346065966745,198.57
1761124346270048192,194.96
1761124346440662445,164.97
1761124346655710009,209.64
1761124346835323740,170.42
1761124346990582065,149.55
1761124347151504972,152.30
1761124347332314082,171.83
1761124347534418171,195.92
1761124347725196914,183.95
1761124347912315317,183.07
1761124348074444464,154.36
1761124348293882994,214.77
1761124348455209160,154.06
1761124348616315256,154.24
1761124348794401968,168.96
1761124348969735938,170.50
1761124349138204602,157.97
1761124349292857806,148.08
1761124349447568488,149.15
1761124349615180228,160.26
1761124349776761261,152.34
1761124349940807521,157.69
1761124350114484412,168.04
1761124350294275031,169.90
1761124350531468995,231.81
1761124350745711077,208.59
1761124350927320206,164.90
1761124351166611255,231.67
1761124351344144097,169.59
1761124351494535098,145.58
1761124351642409414,142.40
1761124351798755773,150.41
1761124351982700158,170.86
1761124352148196794,157.91
1761124352306925446,143.61
1761124352447248180,135.09
1761124352590035134,137.93
1761124352729980638,135.80
1761124352901688720,166.93
1761124353052541067,142.39
1761124353204081179,146.23
1761124353419454806,209.64
1761124353591429235,164.82
1761124353798332730,198.42
1761124353982110567,170.37
1761124354182770782,192.68
1761124354346746997,159.05
1761124354514927853,161.76
1761124354683159906,162.48
1761124354856764594,168.38
1761124355003919042,141.68
1761124355183004325,172.49
1761124355364804608,176.24
1761124355545734669,175.05
1761124355724744219,172.37
1761124355902236551,170.36
1761124356096905962,183.77
1761124356338457386,230.57
1761124356551695214,203.76
1761124356796487471,232.12
1761124356994126210,189.51
1761124357161813193,161.10
1761124357326256878,158.87
1761124357492093741,160.44
1761124357689455737,185.25
1761124357890838171,193.41
1761124358028704305,132.29
1761124358170222447,137.46
1761124358323714197,148.26
1761124358478205555,145.51
1761124358662239472,173.92
1761124358847262061,180.51
1761124359031871453,174.56
1761124359286217794,247.43
1761124359539076799,237.76
1761124359762113267,217.85
1761124359954274062,179.83
1761124360113130314,148.50
1761124360254623353,137.54
1761124360402032391,142.22
1761124360560259554,153.18
1761124360727104847,162.55
1761124360905963521,167.45
1761124361086554069,174.67
1761124361261047526,166.92
1761124361439568309,172.23
1761124361597733865,148.13
1761124361760388298,155.63
1761124361944764477,179.20
1761124362147082608,193.93
1761124362368484864,212.31
1761124362557446401,182.78
1761124362739341658,166.56
1761124362922593688,177.81
1761124363084365567,156.08
1761124363277824252,186.69
1761124363454930248,170.86
1761124363626968014,163.22
1761124363802128612,168.33
1761124363976760576,167.49
1761124364121872423,140.51
1761124364289365446,162.09
1761124364458405402,163.64
1761124364627610358,163.30
1761124364778020962,144.74
1761124364944441950,161.02
1761124365103304272,150.26
1761124365258631852,150.14
1761124365488174301,222.98
1761124365660576241,166.01
1761124365877155082,211.35
1761124366056341238,173.95
1761124366227830648,164.41
1761124366397788403,161.81
1761124366589953566,184.91
1761124366758365069,162.62
1761124366947312961,181.94
1761124367124305763,170.78
1761124367312635015,182.06
1761124367480026083,162.09
1761124367640516633,155.18
1761124367800218892,155.48
1761124367991103585,185.20
1761124368213439669,209.12
1761124368413164488,192.87
1761124368573082438,151.85
1761124368738208006,153.99
1761124368903345538,156.92
1761124369089891397,174.02
1761124369262566817,166.49
1761124369405264134,135.30
1761124369558952438,149.05
1761124369721960081,156.05
1761124369880499792,151.66
1761124370060308326,170.56
1761124370273005872,198.44
1761124370464984419,187.04
1761124370714546015,241.70
1761124370930819731,206.91
1761124371270838874,330.95
1761124371516045355,239.29
1761124371717671657,194.65
1761124371900073388,166.46
1761124372098097337,192.77
1761124372307449585,204.41
1761124372485796685,169.14
1761124372646487307,156.31
1761124372809099020,156.62
1761124373000272120,185.12
1761124373199300911,189.32
1761124373411244410,198.45
1761124373623178430,196.76
1761124373858654179,224.84
1761124374068533467,196.91
1761124374249971569,173.00
1761124374423388761,167.38
1761124374589330533,157.10
1761124374755868619,158.05
1761124374907535957,143.05
1761124375058547077,146.20
1761124375229194855,165.30
1761124375394851897,159.69
1761124375562477256,161.58
1761124375723592525,155.92
1761124375898753620,165.31
1761124376060142951,153.19
1761124376227765864,157.67
1761124376408441453,170.85
1761124376586640363,168.99
1761124376756324700,162.12
1761124376898319799,136.76
1761124377059964119,155.37
1761124377211449285,146.51
1761124377416911975,197.40
1761124377623126249,198.71
1761124377790001672,157.89
1761124377942491117,148.46
1761124378099097625,150.41
1761124378237501100,133.88
1761124378400004580,155.98
1761124378561274931,154.93
1761124378726474399,159.44
1761124378893326989,158.49
1761124379064149538,165.52
1761124379294154597,221.91
1761124379534281976,230.00
1761124379735889631,191.14
1761124379919852935,176.87
1761124380085732984,158.61
1761124380231900638,142.24
1761124380384080932,147.33
1761124380543799489,153.25
1761124380696983041,146.42
1761124380849957616,146.40
1761124381010465470,153.32
1761124381197645410,181.38
1761124381357144771,153.15
1761124381535234386,172.13
1761124381697586420,150.68
1761124381835411087,132.38
1761124382014073420,169.89
1761124382234831773,215.68
1761124382446028826,202.70
1761124382658840511,202.00
1761124382856814610,186.94
1761124383015504966,152.14
1761124383179405093,156.34
1761124383330045230,145.43
1761124383485114165,149.59
1761124383643861893,153.42
1761124383813803466,160.17
1761124383971712528,152.71
1761124384108814050,131.02
1761124384260565772,144.94
1761124384406531515,141.00
1761124384555790167,144.70
1761124384716452533,155.92
1761124384889496878,166.08
1761124385110860458,212.64
1761124385327946190,203.42
1761124385557282226,216.40
1761124385758152291,190.45
1761124385902975086,140.88
1761124386052034349,144.41
1761124386210508623,154.26
1761124386387086865,170.99
1761124386560212724,167.19
1761124386742380738,174.91
1761124386967488392,216.40
1761124387210849391,235.16
1761124387372786504,157.20
1761124387563146850,178.71
1761124387736812151,167.96
1761124387903946304,161.61
1761124388086955227,177.53
1761124388264489413,172.39
1761124388486817380,212.47
1761124388711674475,215.36
1761124388866199307,145.10
1761124389015959834,142.43
1761124389172519485,150.77
1761124389338279492,159.94
1761124389526432994,178.89
1761124389701025380,165.21
1761124389862230855,154.70
1761124390008981344,141.64
1761124390151933629,138.47
1761124390294032415,136.78
1761124390477720935,176.66
1761124390656267302,171.93
1761124390840906948,177.58
1761124391037781364,190.28
1761124391209974960,164.18
1761124391385088504,170.03
1761124391569770672,173.40
1761124391713116090,138.78
1761124391865931438,147.01
1761124392023939549,152.45
1761124392163197913,133.67
1761124392335244207,165.49
1761124392477344480,135.87
1761124392649314166,164.21
1761124392818564223,163.81
1761124392987536751,154.71
1761124393165718894,171.86
1761124393330321612,158.66
1761124393467538598,130.79
1761124393668591085,195.09
1761124393845546339,162.00
1761124394034663886,180.54
1761124394225442743,183.04
1761124394428815389,194.51
1761124394608230880,174.18
1761124394750932090,137.55
1761124394898762778,142.72
1761124395055367575,152.26
1761124395229353330,167.18
1761124395444301310,209.42
1761124395597180775,147.66
1761124395756061604,152.16
1761124395926643584,156.88
1761124396082143206,147.14
1761124396216832697,130.33
1761124396360741520,138.57
1761124396511035060,144.83
1761124396707234173,192.46
1761124396926012690,206.05
1761124397122877824,178.94
1761124397320916567,190.43
1761124397545748897,211.69
1761124397714595642,160.28
1761124397899342980,175.00
1761124398075637664,170.80
1761124398238437952,152.87
1761124398404270585,156.54
1761124398564801670,150.93
1761124398733434992,162.20
1761124398898856649,158.81
1761124399067237565,161.41
1761124399222426963,148.53
1761124399396946958,169.72
1761124399597341742,189.87
1761124399798308273,194.36
1761124399976905236,159.28
1761124400138381119,155.46
1761124400287056131,142.94
1761124400423349522,130.54
1761124400560981404,132.96
1761124400718246938,152.52
1761124400896737442,167.79
1761124401056581009,154.53
1761124401234783324,169.53
1761124401409834490,169.60
1761124401573463101,155.36
1761124401753006094,174.15
1761124401935526956,175.10
1761124402103764566,160.22
1761124402289307640,179.99
1761124402466616905,171.81
1761124402627637540,153.77
1761124402844840327,203.02
1761124403054270670,204.16
1761124403269820769,207.64
1761124403462911349,185.00
1761124403653450088,184.58
1761124403822345793,163.47
1761124403980907242,153.15
1761124404157010223,169.28
1761124404371543185,193.92
1761124404539814063,161.88
1761124404703044464,157.76
1761124404875257148,165.26
1761124405036734041,154.42
1761124405181575363,138.33
1761124405344516428,158.40
1761124405558689480,203.08
1761124405784748366,216.91
1761124406017006072,216.23
1761124406260310472,231.67
1761124406478467672,210.94
1761124406654656508,170.72
1761124406865363267,202.33
1761124407038605731,168.23
1761124407228087513,183.39
1761124407394531992,160.05
1761124407551674573,151.47
1761124407716213119,157.38
1761124407884547275,163.35
1761124408044799719,153.43
1761124408242789762,191.71
1761124408422988952,169.71
1761124408625142894,195.15
1761124408820273603,188.68
1761124409013462133,180.21
1761124409201919633,181.76
1761124409356670032,148.31
1761124409543425319,180.64
1761124409721812826,172.48
1761124409901017156,173.40
1761124410061832373,153.01
1761124410247254204,177.58
1761124410432811360,173.26
1761124410590647964,151.62
1761124410740743887,144.67
1761124410912407223,166.07
1761124411113940907,195.50
1761124411318536566,200.11
1761124411526381880,201.18
1761124411731787039,199.04
1761124411891432198,147.97
1761124412055603651,158.13
1761124412204458604,142.29
1761124412356027254,145.97
1761124412496156875,134.68
1761124412663398575,163.39
1761124412819261376,150.26
1761124412985027244,154.56
1761124413138153998,147.69
1761124413313336246,168.94
1761124413487710087,169.67
1761124413672564688,179.11
1761124413863829328,185.33
1761124414184675980,308.94
1761124414455481997,258.80
1761124414634346411,173.18
1761124414801399774,158.61
1761124414985522319,175.84
1761124415148478100,156.98
1761124415303423620,148.63
1761124415450152508,143.01
1761124415590489752,135.68
1761124415742701642,146.56
1761124415902149122,152.60
1761124416077632233,165.16
1761124416245380788,161.27
1761124416417979103,165.16
1761124416596787939,172.80
1761124416782180194,177.68
1761124416951320573,161.16
1761124417117366612,161.26
1761124417268686289,144.15
1761124417426552670,152.20
1761124417603713133,168.09
1761124417762480056,154.79
1761124417939096708,170.72
1761124418123124606,176.19
1761124418304323947,174.44
1761124418488931896,179.85
1761124418665079833,168.99
1761124418844190885,169.57
1761124419011275987,159.38
1761124419187667610,170.91
1761124419356959857,163.68
1761124419528124781,165.94
1761124419736183268,200.86
1761124419940714602,194.26
1761124420146815714,200.63
1761124420338768680,179.56
1761124420499805632,153.90
1761124420650980265,146.01
1761124420791540984,135.53
1761124420962780683,166.64
1761124421140148025,173.19
1761124421299707349,152.88
1761124421457896994,151.95
1761124421667181057,200.91
1761124421870996912,184.95
1761124422046242633,167.45
1761124422222646658,168.23
1761124422388856272,157.80
1761124422565577019,170.04
1761124422747009200,171.52
1761124422914636763,160.79
1761124423083312405,161.77
1761124423246918972,159.64
1761124423403860250,152.79
1761124423593322882,185.34
1761124423752672129,150.17
1761124423940726721,176.78
1761124424106870938,160.97
1761124424270951905,159.11
1761124424440665797,161.43
1761124424613767885,160.67
1761124424800951367,180.88
1761124424983340065,173.00
1761124425134520347,145.14
1761124425317070527,177.45
1761124425487313106,165.12
1761124425681336020,186.86
1761124425874935710,187.41
1761124426071156253,187.36
1761124426282608514,204.85
1761124426509371909,221.61
1761124426665812636,149.10
1761124426830586175,156.41
1761124427005794833,170.48
1761124427177442923,165.56
1761124427346602805,163.12
1761124427515198694,162.81
1761124427674083682,151.20
1761124427816780771,138.09
1761124427967047792,145.63
1761124428113697770,141.96
1761124428284757695,166.96
1761124428445786818,155.20
1761124428635710329,183.85
1761124428808092568,165.43
1761124429009222167,195.39
1761124429213777051,195.28
1761124429404484272,185.25
1761124429596490808,182.62
1761124429780315264,176.63
1761124429948933593,161.78
1761124430125494025,170.02
1761124430270393696,139.28
1761124430411530799,136.24
1761124430558032745,142.42
1761124430706778052,143.26
1761124430885457099,173.14
1761124431056606757,163.80
1761124431215635788,148.40
1761124431346418110,123.96
1761124431516196342,162.16
1761124431679810669,158.82
1761124431877899825,190.82
1761124432068986466,184.73
1761124432253569350,178.51
1761124432402063165,142.43
1761124432580329183,171.53
1761124432744504051,158.44
1761124432912892685,159.55
1761124433082874789,162.19
1761124433260733103,172.25
1761124433454698115,187.93
1761124433642448172,179.29
1761124433898695227,249.20
1761124434078206138,174.68
1761124434242417168,156.52
1761124434417219708,169.86
1761124434634677589,210.81
1761124434862802058,219.83
1761124435051016441,176.37
1761124435222588772,165.58
1761124435392498656,164.25
1761124435554982940,156.66
1761124435703543484,144.22
1761124435848897638,140.84
1761124435990495368,137.42
1761124436168192026,171.64
